ID,Por favor seleccione el Área que le prestó el servicio solicitado,¿Cuál su nivel de satisfacción con la atención prestada en la entidad?,¿Qué probabilidades hay de que nos recomiendes a un amigo o compañero?,"En que nivel (o muy bajo, 5 muy alto) calificaría la atención de la persona que lo(a) atendió?",Claridad en la información,Oportunidad en la atención,Rapidez en el servicio,¿Hemos cumplido sus expectativas? Nuestro servicio le ha parecido
24,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,10,5,Muy Satisfecho,Muy Satisfecho,Satisfecho,Mejor de lo que esperaba
25,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),7,6,3,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
26,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
27,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
28,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),5,4,3,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
29,Derechos Humanos,10,8,5,Muy Satisfecho,Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
30,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,8,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
31,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
32,Participación Ciudadana,9,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
66,Penal,10,10,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
33,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
34,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
35,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),8,9,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
36,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
37,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
38,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),8,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
39,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
40,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
41,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
42,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
43,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
44,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Satisfecho,Mejor de lo que esperaba
45,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
46,Penal,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
47,Penal,10,10,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
48,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
49,Participación Ciudadana,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
50,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
51,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
52,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
53,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
54,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
55,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
56,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
57,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
58,Participación Ciudadana,9,9,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
59,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,4,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
178,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
60,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
61,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
62,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
63,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),7,8,4,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
64,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
65,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
67,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
68,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),8,9,3,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
69,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
141,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
70,Participación Ciudadana,10,9,5,Nada Satisfecho,Nada Satisfecho,Nada Satisfecho,Mejor de lo que esperaba
71,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
72,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
73,Participación Ciudadana,9,9,5,Satisfecho,Muy Satisfecho,Satisfecho,Tal y como lo esperaba
74,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,5,Satisfecho,Muy Satisfecho,Satisfecho,Tal y como lo esperaba
75,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
76,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
77,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
78,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
79,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),5,8,3,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
80,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
81,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),6,5,4,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
82,Penal,10,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
83,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
84,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
85,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
86,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
87,Participación Ciudadana,7,6,4,Satisfecho,Satisfecho,Satisfecho,No tenía expectativas
88,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
89,Penal,10,10,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
90,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
91,Penal,10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
92,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
93,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
94,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
95,Penal,10,10,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
96,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
97,Penal,10,10,5,Muy Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
98,Derechos Humanos,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
99,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
100,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
101,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,4,Muy Satisfecho,Muy Satisfecho,Satisfecho,Mejor de lo que esperaba
102,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),5,8,4,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
103,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Muy Satisfecho,Satisfecho,Tal y como lo esperaba
104,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
105,Penal,10,10,5,Muy Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
106,Derechos Humanos,10,7,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
107,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
108,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
109,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
110,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
111,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
112,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
113,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
114,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
115,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
116,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,9,5,Muy Satisfecho,Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
117,Penal,10,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
118,Penal,10,5,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
119,Participación Ciudadana,9,9,5,Satisfecho,Muy Satisfecho,Satisfecho,Mejor de lo que esperaba
120,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
121,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
122,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
123,Participación Ciudadana,10,9,5,Nada Satisfecho,Nada Satisfecho,Nada Satisfecho,Tal y como lo esperaba
124,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
125,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
126,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
127,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,4,Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
128,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
129,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
130,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
131,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
132,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
133,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
134,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
135,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
136,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
137,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
138,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
139,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
140,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
142,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,5,Satisfecho,Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
143,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
144,Participación Ciudadana,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
145,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
146,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
147,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
148,Penal,9,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
149,Penal,8,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
150,Penal,9,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
151,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
152,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
153,Penal,8,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
154,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
155,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
156,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
157,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
158,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
159,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
160,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
161,Participación Ciudadana,10,9,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
162,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
163,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
278,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
164,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
165,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
166,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
167,Participación Ciudadana,9,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
168,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
169,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
170,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
171,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
172,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
173,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
174,Penal,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
175,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
176,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
177,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
179,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
180,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
181,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
182,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
183,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
184,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
185,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
186,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
187,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
188,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
189,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
190,Penal,10,10,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
191,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
192,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
193,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
194,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
195,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
196,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
197,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
198,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
199,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
200,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
201,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
202,Despacho del Personero,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
203,Despacho del Personero,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
204,Despacho del Personero,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
205,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
206,Despacho del Personero,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
207,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
208,Despacho del Personero,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
209,Despacho del Personero,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
210,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
211,Derechos Humanos,10,8,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
212,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
213,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
214,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
215,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
216,Despacho del Personero,8,7,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
217,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
218,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
219,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
220,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
221,Participación Ciudadana,8,8,3,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
222,Participación Ciudadana,10,8,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
223,Vigilancia Administrativa y Disciplinaria (AVAD),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
224,Vigilancia Administrativa y Disciplinaria (AVAD),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
225,Vigilancia Administrativa y Disciplinaria (AVAD),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
226,Vigilancia Administrativa y Disciplinaria (AVAD),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
227,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
228,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
229,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
230,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
231,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
232,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
233,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
234,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
235,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
236,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
237,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
238,Penal,10,10,5,Muy Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
239,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
240,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
241,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
242,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
280,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
243,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
244,Vigilancia Administrativa y Disciplinaria (AVAD),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
245,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
246,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
247,Penal,10,10,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
248,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
249,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
250,Participación Ciudadana,9,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
